Lat	Long	CID-S	RSRP-S	CID-N1	CID-N2	CID-N3	CID-N4	CID-N5	CID-N6	RSRP-N1	RSRP-N2	RSRP-N3	RSRP-N4	RSRP-N5	RSRP-N6
33.5746228	130.3709263	309	-89.25	310.0	269.0	163.0	268.0			-95.6875	-96.8125	-101.6875	-102.8125		
33.574626	130.3709259	309	-94.25	163.0	310.0	269.0	268.0			-96.8125	-98.5	-99.375	-102.3125		
33.5746267	130.3709259	309	-93.125	163.0	269.0	310.0	268.0			-95.8125	-96.875	-97.375	-103.5625		
33.5746269	130.3709209	309	-93.375	163.0	269.0	310.0	268.0			-96.5625	-97.8125	-103.625	-104.375		
33.5746269	130.3709179	309	-93.25	269.0	163.0	310.0	204.0	268.0	82.0	-95.9375	-97.375	-102.8125	-103.4375	-103.4375	-107.375
33.5746269	130.3709146	309	-93.375	269.0	163.0	268.0	310.0	204.0	82.0	-94.125	-100.9375	-103.5625	-103.5625	-103.625	-107.6875
33.5746269	130.3709116	309	-94.9375	269.0	163.0	310.0	268.0	204.0	82.0	-92.5625	-101.3125	-101.625	-103.875	-106.6875	-107.25
33.5746269	130.3709083	309	-96.5625	269.0	310.0	163.0	82.0	268.0	204.0	-94.875	-100.625	-103.25	-104.625	-104.75	-109.5625
33.5746269	130.3708953	309	-98.8125	269.0	163.0	268.0	310.0	82.0	204.0	-89.9375	-96.3125	-100.5	-102.0625	-103.5	-104.75
33.5746267	130.3708946	309	-99.3125	269.0	163.0	268.0	310.0	82.0	204.0	-91.1875	-97.1875	-101.125	-104.125	-104.5	-104.75
33.5746264	130.3708935	309	-99.3125	269.0	163.0	268.0	82.0	204.0	310.0	-90.9375	-96.375	-100.6875	-103.375	-104.3125	-104.4375
33.5746257	130.3708904	269	-87.8125	309.0	268.0	163.0	310.0	204.0	82.0	-99.75	-100.75	-101.4375	-102.375	-104.875	-105.125
33.574625	130.3708879	269	-87.0	309.0	310.0	268.0	163.0			-95.5625	-96.875	-97.0625	-97.125		
33.5746236	130.3708819	269	-90.625	309.0	163.0	268.0	267.0	310.0		-95.0	-96.8125	-97.5	-102.3125	-102.75	
33.5746227	130.3708801	269	-92.0625	309.0	163.0	162.0	268.0	310.0	267.0	-93.9375	-94.1875	-97.5	-97.6875	-100.5625	-101.125
33.5746199	130.3708801	269	-99.25	163.0	309.0	310.0	162.0	268.0	267.0	-97.75	-98.875	-100.75	-103.125	-103.6875	-107.5625
